Nr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
02/24/23 12:00,1.405E-2,1.677E-2,5.8999999999999999E-3,1.163E-2,1.094E-2,9.1000000000000004E-3,6.9199999999999999E-3,3.4399999999999999E-3,1E-3,2.2100000000000002E-3,6.4999999999999997E-4,2.1099999999999999E-3,3.0999999999999999E-3,6.8599999999999998E-3,6.0000000000000001E-3,1E-3,3.8999999999999998E-3,5.8999999999999999E-3,6.3899999999999998E-3,2.9399999999999999E-3,3.98E-3,5.8500000000000002E-3,1.396E-2,7.3400000000000002E-3,3.81E-3,1.3429999999999999E-2,3.8899999999999998E-3,2.5100000000000001E-3,3.9399999999999999E-3,2.66E-3,7.4200000000000004E-3,9.7699999999999992E-3,,2.99E-3,4.8399999999999997E-3,5.1900000000000002E-3,3.0200000000000001E-3,3.1900000000000001E-3,8.0000000000000002E-3,1.376E-2,6.8500000000000002E-3,5.5900000000000004E-3,5.96E-3,1.9699999999999999E-2,9.2899999999999996E-3,2.0320000000000001E-2,1.1209999999999999E-2,1.4250000000000001E-2,1.9269999999999999E-2,1.157E-2,2.0300000000000001E-3,1E-3,1E-3,1.4540000000000001E-2,6.28E-3,4.1399999999999996E-3,1E-3,2.3500000000000001E-3,3.0699999999999998E-3
02/25/23 12:00,1.405E-2,1.677E-2,5.8999999999999999E-3,1.163E-2,1.094E-2,9.1000000000000004E-3,6.9199999999999999E-3,3.4399999999999999E-3,1E-3,2.2100000000000002E-3,6.4999999999999997E-4,2.1099999999999999E-3,3.0999999999999999E-3,6.8599999999999998E-3,6.0000000000000001E-3,1E-3,3.8999999999999998E-3,5.8999999999999999E-3,6.3899999999999998E-3,2.9399999999999999E-3,3.98E-3,5.8500000000000002E-3,1.396E-2,7.3400000000000002E-3,3.81E-3,1.3429999999999999E-2,3.8899999999999998E-3,2.5100000000000001E-3,3.9399999999999999E-3,2.66E-3,7.4200000000000004E-3,9.7699999999999992E-3,2.3400000000000001E-3,2.99E-3,4.8399999999999997E-3,5.1900000000000002E-3,3.0200000000000001E-3,3.1900000000000001E-3,8.0000000000000002E-3,1.376E-2,6.8500000000000002E-3,5.5900000000000004E-3,5.96E-3,1.9699999999999999E-2,9.2899999999999996E-3,2.0320000000000001E-2,1.1209999999999999E-2,1.4250000000000001E-2,1.9269999999999999E-2,1.157E-2,2.0300000000000001E-3,1E-3,1E-3,1.4540000000000001E-2,6.28E-3,4.1399999999999996E-3,1E-3,2.3500000000000001E-3,3.0699999999999998E-3
02/26/23 12:00,1.405E-2,1.677E-2,5.8999999999999999E-3,1.163E-2,1.094E-2,9.1000000000000004E-3,6.9199999999999999E-3,3.4399999999999999E-3,1E-3,2.2100000000000002E-3,6.4999999999999997E-4,2.1099999999999999E-3,3.0999999999999999E-3,6.8599999999999998E-3,6.0000000000000001E-3,1E-3,3.8999999999999998E-3,5.8999999999999999E-3,6.3899999999999998E-3,2.9399999999999999E-3,3.98E-3,5.8500000000000002E-3,1.396E-2,7.3400000000000002E-3,3.81E-3,1.3429999999999999E-2,3.8899999999999998E-3,2.5100000000000001E-3,3.9399999999999999E-3,2.66E-3,7.4200000000000004E-3,9.7699999999999992E-3,2.3400000000000001E-3,2.99E-3,4.8399999999999997E-3,5.1900000000000002E-3,3.0200000000000001E-3,3.1900000000000001E-3,8.0000000000000002E-3,1.376E-2,6.8500000000000002E-3,5.5900000000000004E-3,5.96E-3,1.9699999999999999E-2,9.2899999999999996E-3,2.0320000000000001E-2,1.1209999999999999E-2,1.4250000000000001E-2,1.9269999999999999E-2,1.157E-2,2.0300000000000001E-3,1E-3,1E-3,1.4540000000000001E-2,6.28E-3,4.1399999999999996E-3,1E-3,2.3500000000000001E-3,3.0699999999999998E-3
02/27/23 12:00,2.7910000000000001E-2,2.3449999999999999E-2,8.2400000000000008E-3,1.2630000000000001E-2,3.6110000000000003E-2,8.9700000000000005E-3,2.051E-2,5.2399999999999999E-3,3.7599999999999999E-3,8.7100000000000007E-3,5.1999999999999995E-4,4.1599999999999996E-3,4.47E-3,1.1520000000000001E-2,1.806E-2,2.0999999999999999E-3,5.7499999999999999E-3,5.5100000000000001E-3,7.6400000000000001E-3,4.6499999999999996E-3,1E-3,1.055E-2,2.1180000000000001E-2,1.294E-2,1.2370000000000001E-2,1.7510000000000001E-2,1.057E-2,2.8E-3,7.6600000000000001E-3,4.6899999999999997E-3,6.43E-3,1.7489999999999999E-2,3.2100000000000002E-3,3.2200000000000002E-3,1.2E-2,9.4699999999999993E-3,1.14E-2,,7.4999999999999997E-3,1.3650000000000001E-2,1.503E-2,1.602E-2,3.7150000000000002E-2,4.4069999999999998E-2,3.7740000000000003E-2,4.5599999999999998E-3,3.7519999999999998E-2,8.6279999999999996E-2,0.10624,1.2489999999999999E-2,3.5300000000000002E-3,1E-3,1E-3,1.7010000000000001E-2,,1.1259999999999999E-2,2.3600000000000001E-3,5.3499999999999997E-3,2.3500000000000001E-3
02/28/23 12:00,2.7910000000000001E-2,,8.2400000000000008E-3,1.2630000000000001E-2,3.6110000000000003E-2,8.9700000000000005E-3,2.051E-2,5.2399999999999999E-3,3.7599999999999999E-3,8.7100000000000007E-3,5.1999999999999995E-4,4.1599999999999996E-3,4.47E-3,1.1520000000000001E-2,1.806E-2,2.0999999999999999E-3,5.7499999999999999E-3,5.5100000000000001E-3,7.6400000000000001E-3,4.6499999999999996E-3,1E-3,1.055E-2,2.1180000000000001E-2,1.294E-2,1.2370000000000001E-2,1.7510000000000001E-2,1.057E-2,2.8E-3,7.6600000000000001E-3,4.6899999999999997E-3,6.43E-3,1.7489999999999999E-2,3.2100000000000002E-3,3.2200000000000002E-3,1.2E-2,9.4699999999999993E-3,1.14E-2,,7.4999999999999997E-3,1.3650000000000001E-2,1.503E-2,1.602E-2,3.7150000000000002E-2,4.4069999999999998E-2,3.7740000000000003E-2,4.5599999999999998E-3,3.7519999999999998E-2,8.6279999999999996E-2,0.10624,1.2489999999999999E-2,3.5300000000000002E-3,1E-3,1E-3,1.7010000000000001E-2,,1.1259999999999999E-2,2.3600000000000001E-3,5.3499999999999997E-3,2.3500000000000001E-3
03/01/23 12:00,2.7910000000000001E-2,,8.2400000000000008E-3,1.2630000000000001E-2,3.6110000000000003E-2,8.9700000000000005E-3,2.051E-2,5.2399999999999999E-3,3.7599999999999999E-3,8.7100000000000007E-3,5.1999999999999995E-4,4.1599999999999996E-3,4.47E-3,1.1520000000000001E-2,1.806E-2,2.0999999999999999E-3,5.7499999999999999E-3,5.5100000000000001E-3,7.6400000000000001E-3,4.6499999999999996E-3,1E-3,1.055E-2,2.1180000000000001E-2,1.294E-2,1.2370000000000001E-2,1.7510000000000001E-2,1.057E-2,2.8E-3,7.6600000000000001E-3,4.6899999999999997E-3,6.43E-3,1.7489999999999999E-2,3.2100000000000002E-3,3.2200000000000002E-3,1.2E-2,9.4699999999999993E-3,1.14E-2,,7.4999999999999997E-3,1.3650000000000001E-2,1.503E-2,1.602E-2,3.7150000000000002E-2,4.4069999999999998E-2,3.7740000000000003E-2,4.5599999999999998E-3,3.7519999999999998E-2,8.6279999999999996E-2,0.10624,1.2489999999999999E-2,3.5300000000000002E-3,1E-3,1E-3,1.7010000000000001E-2,8.09E-3,1.1259999999999999E-2,2.3600000000000001E-3,5.3499999999999997E-3,2.3500000000000001E-3
03/02/23 12:00,2.7910000000000001E-2,2.3449999999999999E-2,8.2400000000000008E-3,1.2630000000000001E-2,3.6110000000000003E-2,8.9700000000000005E-3,2.051E-2,5.2399999999999999E-3,3.7599999999999999E-3,8.7100000000000007E-3,5.1999999999999995E-4,4.1599999999999996E-3,4.47E-3,1.1520000000000001E-2,1.806E-2,2.0999999999999999E-3,5.7499999999999999E-3,5.5100000000000001E-3,7.6400000000000001E-3,4.6499999999999996E-3,1E-3,1.055E-2,2.1180000000000001E-2,1.294E-2,1.2370000000000001E-2,1.7510000000000001E-2,1.057E-2,2.8E-3,7.6600000000000001E-3,4.6899999999999997E-3,6.43E-3,1.7489999999999999E-2,3.2100000000000002E-3,3.2200000000000002E-3,1.2E-2,9.4699999999999993E-3,1.14E-2,,7.4999999999999997E-3,1.3650000000000001E-2,1.503E-2,1.602E-2,3.7150000000000002E-2,4.4069999999999998E-2,3.7740000000000003E-2,4.5599999999999998E-3,3.7519999999999998E-2,8.6279999999999996E-2,0.10624,1.2489999999999999E-2,3.5300000000000002E-3,1E-3,1E-3,1.7010000000000001E-2,8.09E-3,1.1259999999999999E-2,2.3600000000000001E-3,5.3499999999999997E-3,2.3500000000000001E-3
03/03/23 12:00,2.7910000000000001E-2,2.3449999999999999E-2,8.2400000000000008E-3,1.2630000000000001E-2,3.6110000000000003E-2,8.9700000000000005E-3,2.051E-2,5.2399999999999999E-3,3.7599999999999999E-3,8.7100000000000007E-3,5.1999999999999995E-4,4.1599999999999996E-3,4.47E-3,1.1520000000000001E-2,1.806E-2,2.0999999999999999E-3,5.7499999999999999E-3,5.5100000000000001E-3,7.6400000000000001E-3,4.6499999999999996E-3,1E-3,1.055E-2,2.1180000000000001E-2,1.294E-2,1.2370000000000001E-2,1.7510000000000001E-2,1.057E-2,2.8E-3,7.6600000000000001E-3,4.6899999999999997E-3,6.43E-3,1.7489999999999999E-2,3.2100000000000002E-3,3.2200000000000002E-3,1.2E-2,9.4699999999999993E-3,1.14E-2,,7.4999999999999997E-3,1.3650000000000001E-2,1.503E-2,1.602E-2,3.7150000000000002E-2,4.4069999999999998E-2,3.7740000000000003E-2,4.5599999999999998E-3,3.7519999999999998E-2,8.6279999999999996E-2,0.10624,1.2489999999999999E-2,3.5300000000000002E-3,1E-3,1E-3,1.7010000000000001E-2,8.09E-3,1.1259999999999999E-2,2.3600000000000001E-3,5.3499999999999997E-3,2.3500000000000001E-3
03/04/23 12:00,2.7910000000000001E-2,2.3449999999999999E-2,8.2400000000000008E-3,1.2630000000000001E-2,3.6110000000000003E-2,8.9700000000000005E-3,2.051E-2,5.2399999999999999E-3,3.7599999999999999E-3,8.7100000000000007E-3,5.1999999999999995E-4,4.1599999999999996E-3,4.47E-3,1.1520000000000001E-2,1.806E-2,2.0999999999999999E-3,5.7499999999999999E-3,5.5100000000000001E-3,7.6400000000000001E-3,4.6499999999999996E-3,1E-3,1.055E-2,2.1180000000000001E-2,1.294E-2,1.2370000000000001E-2,1.7510000000000001E-2,1.057E-2,2.8E-3,7.6600000000000001E-3,4.6899999999999997E-3,6.43E-3,1.7489999999999999E-2,3.2100000000000002E-3,3.2200000000000002E-3,1.2E-2,9.4699999999999993E-3,1.14E-2,,7.4999999999999997E-3,1.3650000000000001E-2,1.503E-2,1.602E-2,3.7150000000000002E-2,4.4069999999999998E-2,3.7740000000000003E-2,4.5599999999999998E-3,3.7519999999999998E-2,8.6279999999999996E-2,0.10624,1.2489999999999999E-2,3.5300000000000002E-3,1E-3,1E-3,1.7010000000000001E-2,8.09E-3,1.1259999999999999E-2,2.3600000000000001E-3,5.3499999999999997E-3,2.3500000000000001E-3
03/05/23 12:00,2.7910000000000001E-2,2.3449999999999999E-2,8.2400000000000008E-3,1.2630000000000001E-2,3.6110000000000003E-2,8.9700000000000005E-3,2.051E-2,5.2399999999999999E-3,3.7599999999999999E-3,8.7100000000000007E-3,5.1999999999999995E-4,4.1599999999999996E-3,4.47E-3,1.1520000000000001E-2,1.806E-2,2.0999999999999999E-3,5.7499999999999999E-3,5.5100000000000001E-3,7.6400000000000001E-3,4.6499999999999996E-3,1E-3,1.055E-2,2.1180000000000001E-2,1.294E-2,1.2370000000000001E-2,1.7510000000000001E-2,1.057E-2,2.8E-3,7.6600000000000001E-3,4.6899999999999997E-3,6.43E-3,1.7489999999999999E-2,3.2100000000000002E-3,3.2200000000000002E-3,1.2E-2,9.4699999999999993E-3,1.14E-2,,7.4999999999999997E-3,1.3650000000000001E-2,1.503E-2,1.602E-2,3.7150000000000002E-2,4.4069999999999998E-2,3.7740000000000003E-2,4.5599999999999998E-3,3.7519999999999998E-2,,0.10624,1.2489999999999999E-2,3.5300000000000002E-3,1E-3,1E-3,1.7010000000000001E-2,8.09E-3,1.1259999999999999E-2,2.3600000000000001E-3,5.3499999999999997E-3,2.3500000000000001E-3
03/06/23 12:00,6.43E-3,4.888E-2,1.83E-3,1.303E-2,8.0599999999999995E-3,7.1300000000000001E-3,6.3499999999999997E-3,7.43E-3,4.4200000000000003E-3,6.3600000000000002E-3,1.4599999999999999E-3,2.99E-3,3.96E-3,7.6499999999999997E-3,9.3900000000000008E-3,1E-3,1E-3,2.5500000000000002E-3,3.0500000000000002E-3,1E-3,2.5699999999999998E-3,5.1500000000000001E-3,6.0800000000000003E-3,6.3800000000000003E-3,2.96E-3,1.013E-2,5.5399999999999998E-3,3.46E-3,4.2100000000000002E-3,3.5400000000000002E-3,3.3400000000000001E-3,3.3500000000000001E-3,1E-3,3.8999999999999998E-3,3.65E-3,5.6299999999999996E-3,3.63E-3,,7.7999999999999996E-3,9.1800000000000007E-3,1.2200000000000001E-2,2.3600000000000001E-3,1.7100000000000001E-2,1.8380000000000001E-2,8.6700000000000006E-3,3.5360000000000003E-2,6.4000000000000003E-3,,1.1769999999999999E-2,5.5900000000000004E-3,2.96E-3,2.15E-3,1E-3,5.7869999999999998E-2,3.7000000000000002E-3,5.8900000000000003E-3,1E-3,2.3999999999999998E-3,3.15E-3
03/07/23 12:00,6.43E-3,4.888E-2,1.83E-3,1.303E-2,8.0599999999999995E-3,7.1300000000000001E-3,6.3499999999999997E-3,7.43E-3,4.4200000000000003E-3,6.3600000000000002E-3,1.4599999999999999E-3,2.99E-3,3.96E-3,7.6499999999999997E-3,9.3900000000000008E-3,1E-3,1E-3,2.5500000000000002E-3,3.0500000000000002E-3,1E-3,2.5699999999999998E-3,5.1500000000000001E-3,6.0800000000000003E-3,6.3800000000000003E-3,2.96E-3,1.013E-2,5.5399999999999998E-3,3.46E-3,4.2100000000000002E-3,3.5400000000000002E-3,3.3400000000000001E-3,3.3500000000000001E-3,1E-3,3.8999999999999998E-3,3.65E-3,5.6299999999999996E-3,3.63E-3,9.6900000000000007E-3,7.7999999999999996E-3,9.1800000000000007E-3,1.2200000000000001E-2,2.3600000000000001E-3,1.7100000000000001E-2,1.8380000000000001E-2,8.6700000000000006E-3,3.5360000000000003E-2,6.4000000000000003E-3,7.3000000000000001E-3,1.1769999999999999E-2,5.5900000000000004E-3,2.96E-3,2.15E-3,1E-3,5.7869999999999998E-2,3.7000000000000002E-3,5.8900000000000003E-3,1E-3,2.3999999999999998E-3,3.15E-3
03/08/23 12:00,6.43E-3,4.888E-2,1.83E-3,1.303E-2,8.0599999999999995E-3,7.1300000000000001E-3,6.3499999999999997E-3,7.43E-3,4.4200000000000003E-3,6.3600000000000002E-3,1.4599999999999999E-3,2.99E-3,3.96E-3,7.6499999999999997E-3,9.3900000000000008E-3,1E-3,1E-3,2.5500000000000002E-3,3.0500000000000002E-3,1E-3,2.5699999999999998E-3,5.1500000000000001E-3,6.0800000000000003E-3,6.3800000000000003E-3,2.96E-3,1.013E-2,5.5399999999999998E-3,3.46E-3,4.2100000000000002E-3,3.5400000000000002E-3,3.3400000000000001E-3,3.3500000000000001E-3,1E-3,3.8999999999999998E-3,3.65E-3,5.6299999999999996E-3,3.63E-3,9.6900000000000007E-3,7.7999999999999996E-3,9.1800000000000007E-3,1.2200000000000001E-2,2.3600000000000001E-3,1.7100000000000001E-2,1.8380000000000001E-2,8.6700000000000006E-3,3.5360000000000003E-2,6.4000000000000003E-3,7.3000000000000001E-3,1.1769999999999999E-2,5.5900000000000004E-3,2.96E-3,2.15E-3,1E-3,5.7869999999999998E-2,3.7000000000000002E-3,5.8900000000000003E-3,1E-3,2.3999999999999998E-3,3.15E-3
03/09/23 12:00,6.43E-3,4.888E-2,1.83E-3,1.303E-2,8.0599999999999995E-3,7.1300000000000001E-3,6.3499999999999997E-3,7.43E-3,4.4200000000000003E-3,6.3600000000000002E-3,1.4599999999999999E-3,2.99E-3,3.96E-3,7.6499999999999997E-3,9.3900000000000008E-3,1E-3,1E-3,2.5500000000000002E-3,3.0500000000000002E-3,1E-3,2.5699999999999998E-3,5.1500000000000001E-3,6.0800000000000003E-3,6.3800000000000003E-3,2.96E-3,1.013E-2,5.5399999999999998E-3,3.46E-3,4.2100000000000002E-3,3.5400000000000002E-3,3.3400000000000001E-3,3.3500000000000001E-3,1E-3,3.8999999999999998E-3,3.65E-3,5.6299999999999996E-3,3.63E-3,9.6900000000000007E-3,7.7999999999999996E-3,9.1800000000000007E-3,1.2200000000000001E-2,2.3600000000000001E-3,1.7100000000000001E-2,1.8380000000000001E-2,8.6700000000000006E-3,3.5360000000000003E-2,6.4000000000000003E-3,7.3000000000000001E-3,1.1769999999999999E-2,5.5900000000000004E-3,2.96E-3,2.15E-3,1E-3,5.7869999999999998E-2,3.7000000000000002E-3,5.8900000000000003E-3,1E-3,2.3999999999999998E-3,3.15E-3
03/10/23 12:00,6.43E-3,4.888E-2,1.83E-3,1.303E-2,8.0599999999999995E-3,7.1300000000000001E-3,6.3499999999999997E-3,7.43E-3,4.4200000000000003E-3,6.3600000000000002E-3,1.4599999999999999E-3,2.99E-3,3.96E-3,7.6499999999999997E-3,9.3900000000000008E-3,1E-3,1E-3,2.5500000000000002E-3,3.0500000000000002E-3,1E-3,2.5699999999999998E-3,5.1500000000000001E-3,6.0800000000000003E-3,6.3800000000000003E-3,2.96E-3,1.013E-2,5.5399999999999998E-3,3.46E-3,4.2100000000000002E-3,3.5400000000000002E-3,3.3400000000000001E-3,3.3500000000000001E-3,1E-3,3.8999999999999998E-3,3.65E-3,5.6299999999999996E-3,3.63E-3,9.6900000000000007E-3,7.7999999999999996E-3,9.1800000000000007E-3,1.2200000000000001E-2,2.3600000000000001E-3,1.7100000000000001E-2,1.8380000000000001E-2,8.6700000000000006E-3,3.5360000000000003E-2,6.4000000000000003E-3,7.3000000000000001E-3,1.1769999999999999E-2,5.5900000000000004E-3,2.96E-3,2.15E-3,1E-3,5.7869999999999998E-2,3.7000000000000002E-3,5.8900000000000003E-3,1E-3,2.3999999999999998E-3,3.15E-3
03/11/23 12:00,6.43E-3,4.888E-2,1.83E-3,1.303E-2,8.0599999999999995E-3,7.1300000000000001E-3,6.3499999999999997E-3,7.43E-3,4.4200000000000003E-3,6.3600000000000002E-3,1.4599999999999999E-3,2.99E-3,3.96E-3,7.6499999999999997E-3,9.3900000000000008E-3,1E-3,1E-3,2.5500000000000002E-3,3.0500000000000002E-3,1E-3,2.5699999999999998E-3,5.1500000000000001E-3,6.0800000000000003E-3,6.3800000000000003E-3,2.96E-3,1.013E-2,5.5399999999999998E-3,3.46E-3,4.2100000000000002E-3,3.5400000000000002E-3,3.3400000000000001E-3,3.3500000000000001E-3,1E-3,3.8999999999999998E-3,3.65E-3,5.6299999999999996E-3,3.63E-3,9.6900000000000007E-3,7.7999999999999996E-3,9.1800000000000007E-3,1.2200000000000001E-2,2.3600000000000001E-3,1.7100000000000001E-2,1.8380000000000001E-2,8.6700000000000006E-3,3.5360000000000003E-2,6.4000000000000003E-3,7.3000000000000001E-3,1.1769999999999999E-2,5.5900000000000004E-3,2.96E-3,2.15E-3,1E-3,5.7869999999999998E-2,3.7000000000000002E-3,5.8900000000000003E-3,1E-3,2.3999999999999998E-3,3.15E-3
03/12/23 12:00,6.43E-3,4.888E-2,1.83E-3,1.303E-2,8.0599999999999995E-3,7.1300000000000001E-3,6.3499999999999997E-3,7.43E-3,4.4200000000000003E-3,6.3600000000000002E-3,1.4599999999999999E-3,2.99E-3,3.96E-3,7.6499999999999997E-3,9.3900000000000008E-3,1E-3,1E-3,2.5500000000000002E-3,3.0500000000000002E-3,1E-3,2.5699999999999998E-3,5.1500000000000001E-3,6.0800000000000003E-3,6.3800000000000003E-3,2.96E-3,1.013E-2,5.5399999999999998E-3,3.46E-3,4.2100000000000002E-3,3.5400000000000002E-3,3.3400000000000001E-3,3.3500000000000001E-3,1E-3,3.8999999999999998E-3,3.65E-3,5.6299999999999996E-3,3.63E-3,9.6900000000000007E-3,7.7999999999999996E-3,9.1800000000000007E-3,1.2200000000000001E-2,2.3600000000000001E-3,1.7100000000000001E-2,1.8380000000000001E-2,8.6700000000000006E-3,3.5360000000000003E-2,6.4000000000000003E-3,7.3000000000000001E-3,1.1769999999999999E-2,5.5900000000000004E-3,2.96E-3,2.15E-3,,5.7869999999999998E-2,3.7000000000000002E-3,5.8900000000000003E-3,1E-3,2.3999999999999998E-3,3.15E-3
03/13/23 12:00,1.3180000000000001E-2,4.6280000000000002E-2,3.31E-3,1.3480000000000001E-2,1.1010000000000001E-2,6.9899999999999997E-3,1.406E-2,1.358E-2,6.0600000000000003E-3,1.235E-2,2.47E-3,3.0999999999999999E-3,4.47E-3,9.3900000000000008E-3,1.728E-2,3.0999999999999999E-3,1E-3,1.001E-2,4.5599999999999998E-3,3.5500000000000002E-3,6.8300000000000001E-3,8.2500000000000004E-3,1.1270000000000001E-2,1.259E-2,4.2300000000000003E-3,1.093E-2,1.1010000000000001E-2,4.81E-3,5.9500000000000004E-3,8.26E-3,7.4999999999999997E-3,8.1799999999999998E-3,3.13E-3,5.6800000000000002E-3,5.7299999999999999E-3,9.4400000000000005E-3,4.3499999999999997E-3,6.8199999999999997E-3,8.8999999999999999E-3,1.2460000000000001E-2,1.004E-2,1.9269999999999999E-2,5.0209999999999998E-2,1.5910000000000001E-2,2.759E-2,5.2209999999999999E-2,1.9900000000000001E-2,2.112E-2,7.4380000000000002E-2,5.0899999999999999E-3,4.6100000000000004E-3,3.48E-3,,3.073E-2,5.2199999999999998E-3,9.6399999999999993E-3,4.79E-3,3.64E-3,6.8700000000000002E-3
03/14/23 12:00,1.3180000000000001E-2,4.6280000000000002E-2,3.31E-3,1.3480000000000001E-2,1.1010000000000001E-2,6.9899999999999997E-3,1.406E-2,1.358E-2,6.0600000000000003E-3,1.235E-2,2.47E-3,3.0999999999999999E-3,4.47E-3,9.3900000000000008E-3,1.728E-2,3.0999999999999999E-3,1E-3,1.001E-2,4.5599999999999998E-3,3.5500000000000002E-3,6.8300000000000001E-3,8.2500000000000004E-3,1.1270000000000001E-2,1.259E-2,4.2300000000000003E-3,1.093E-2,1.1010000000000001E-2,4.81E-3,5.9500000000000004E-3,8.26E-3,7.4999999999999997E-3,8.1799999999999998E-3,3.13E-3,5.6800000000000002E-3,5.7299999999999999E-3,9.4400000000000005E-3,4.3499999999999997E-3,6.8199999999999997E-3,8.8999999999999999E-3,1.2460000000000001E-2,1.004E-2,1.9269999999999999E-2,5.0209999999999998E-2,1.5910000000000001E-2,2.759E-2,5.2209999999999999E-2,1.9900000000000001E-2,2.112E-2,7.4380000000000002E-2,5.0899999999999999E-3,4.6100000000000004E-3,3.48E-3,2E-3,3.073E-2,5.2199999999999998E-3,9.6399999999999993E-3,4.79E-3,3.64E-3,6.8700000000000002E-3
03/15/23 12:00,1.3180000000000001E-2,4.6280000000000002E-2,3.31E-3,1.3480000000000001E-2,1.1010000000000001E-2,6.9899999999999997E-3,1.406E-2,1.358E-2,6.0600000000000003E-3,1.235E-2,2.47E-3,3.0999999999999999E-3,4.47E-3,9.3900000000000008E-3,1.728E-2,3.0999999999999999E-3,1E-3,1.001E-2,4.5599999999999998E-3,3.5500000000000002E-3,6.8300000000000001E-3,8.2500000000000004E-3,1.1270000000000001E-2,1.259E-2,4.2300000000000003E-3,1.093E-2,1.1010000000000001E-2,4.81E-3,5.9500000000000004E-3,8.26E-3,7.4999999999999997E-3,8.1799999999999998E-3,3.13E-3,5.6800000000000002E-3,5.7299999999999999E-3,9.4400000000000005E-3,4.3499999999999997E-3,6.8199999999999997E-3,8.8999999999999999E-3,1.2460000000000001E-2,1.004E-2,1.9269999999999999E-2,5.0209999999999998E-2,1.5910000000000001E-2,2.759E-2,5.2209999999999999E-2,1.9900000000000001E-2,2.112E-2,7.4380000000000002E-2,5.0899999999999999E-3,4.6100000000000004E-3,3.48E-3,2E-3,3.073E-2,5.2199999999999998E-3,9.6399999999999993E-3,4.79E-3,3.64E-3,6.8700000000000002E-3
03/16/23 12:00,1.3180000000000001E-2,4.6280000000000002E-2,3.31E-3,1.3480000000000001E-2,1.1010000000000001E-2,6.9899999999999997E-3,1.406E-2,1.358E-2,6.0600000000000003E-3,1.235E-2,2.47E-3,3.0999999999999999E-3,4.47E-3,9.3900000000000008E-3,1.728E-2,3.0999999999999999E-3,1E-3,1.001E-2,4.5599999999999998E-3,3.5500000000000002E-3,6.8300000000000001E-3,8.2500000000000004E-3,1.1270000000000001E-2,1.259E-2,4.2300000000000003E-3,1.093E-2,1.1010000000000001E-2,4.81E-3,5.9500000000000004E-3,8.26E-3,7.4999999999999997E-3,8.1799999999999998E-3,3.13E-3,5.6800000000000002E-3,5.7299999999999999E-3,9.4400000000000005E-3,4.3499999999999997E-3,6.8199999999999997E-3,8.8999999999999999E-3,1.2460000000000001E-2,1.004E-2,1.9269999999999999E-2,5.0209999999999998E-2,1.5910000000000001E-2,2.759E-2,5.2209999999999999E-2,1.9900000000000001E-2,2.112E-2,7.4380000000000002E-2,5.0899999999999999E-3,4.6100000000000004E-3,3.48E-3,2E-3,3.073E-2,,9.6399999999999993E-3,4.79E-3,3.64E-3,6.8700000000000002E-3
03/17/23 12:00,1.3180000000000001E-2,4.6280000000000002E-2,3.31E-3,1.3480000000000001E-2,1.1010000000000001E-2,6.9899999999999997E-3,1.406E-2,1.358E-2,6.0600000000000003E-3,1.235E-2,2.47E-3,3.0999999999999999E-3,4.47E-3,9.3900000000000008E-3,1.728E-2,3.0999999999999999E-3,1E-3,1.001E-2,4.5599999999999998E-3,3.5500000000000002E-3,6.8300000000000001E-3,8.2500000000000004E-3,1.1270000000000001E-2,1.259E-2,4.2300000000000003E-3,1.093E-2,1.1010000000000001E-2,4.81E-3,5.9500000000000004E-3,8.26E-3,7.4999999999999997E-3,8.1799999999999998E-3,3.13E-3,5.6800000000000002E-3,5.7299999999999999E-3,9.4400000000000005E-3,4.3499999999999997E-3,6.8199999999999997E-3,8.8999999999999999E-3,1.2460000000000001E-2,1.004E-2,1.9269999999999999E-2,5.0209999999999998E-2,1.5910000000000001E-2,2.759E-2,5.2209999999999999E-2,1.9900000000000001E-2,2.112E-2,7.4380000000000002E-2,5.0899999999999999E-3,4.6100000000000004E-3,3.48E-3,2E-3,3.073E-2,,9.6399999999999993E-3,4.79E-3,3.64E-3,6.8700000000000002E-3
03/18/23 12:00,1.3180000000000001E-2,4.6280000000000002E-2,3.31E-3,1.3480000000000001E-2,1.1010000000000001E-2,6.9899999999999997E-3,1.406E-2,1.358E-2,6.0600000000000003E-3,1.235E-2,2.47E-3,3.0999999999999999E-3,4.47E-3,9.3900000000000008E-3,1.728E-2,3.0999999999999999E-3,1E-3,1.001E-2,4.5599999999999998E-3,3.5500000000000002E-3,6.8300000000000001E-3,8.2500000000000004E-3,1.1270000000000001E-2,1.259E-2,4.2300000000000003E-3,1.093E-2,1.1010000000000001E-2,4.81E-3,5.9500000000000004E-3,8.26E-3,7.4999999999999997E-3,8.1799999999999998E-3,3.13E-3,5.6800000000000002E-3,5.7299999999999999E-3,9.4400000000000005E-3,4.3499999999999997E-3,6.8199999999999997E-3,8.8999999999999999E-3,1.2460000000000001E-2,1.004E-2,1.9269999999999999E-2,5.0209999999999998E-2,1.5910000000000001E-2,2.759E-2,5.2209999999999999E-2,1.9900000000000001E-2,2.112E-2,7.4380000000000002E-2,5.0899999999999999E-3,4.6100000000000004E-3,3.48E-3,2E-3,3.073E-2,5.2199999999999998E-3,9.6399999999999993E-3,4.79E-3,3.64E-3,6.8700000000000002E-3
